date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,home_team_ranking,away_team_confederation,away_team_ranking
1933-03-19,Germany,France,3,3,Friendly,Berlin,Germany,False,UEFA,1717.0,UEFA,1853.0
1933-04-23,France,Spain,1,0,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1855.0
1933-12-14,Uruguay,Argentina,0,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True,CONMEBOL,1776.0,UEFA,1855.0
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False,UEFA,1718.0,UEFA,1855.0
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False,UEFA,1718.0,UEFA,1855.0
1934-07-18,Uruguay,Argentina,2,2,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1934-08-15,Argentina,Uruguay,1,0,Friendly,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1935-01-24,Spain,France,2,0,Friendly,Madrid,Spain,False,UEFA,1855.0,UEFA,1853.0
1935-01-27,Argentina,Uruguay,0,3,Copa América,Lima,Peru,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1935-02-17,Italy,France,2,1,Friendly,Rome,Italy,False,UEFA,1718.0,UEFA,1853.0
1935-03-17,France,Germany,1,3,Friendly,Paris,France,False,UEFA,1853.0,UEFA,1717.0
1935-05-12,Germany,Spain,1,2,Friendly,Cologne,Germany,False,UEFA,1717.0,UEFA,1855.0
1935-07-18,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1935-08-15,Argentina,Uruguay,3,0,Friendly,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1936-02-23,Spain,Germany,1,2,Friendly,Barcelona,Spain,False,UEFA,1855.0,UEFA,1717.0
1936-08-09,Argentina,Uruguay,1,0,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1936-09-20,Uruguay,Argentina,2,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1936-11-15,Germany,Italy,2,2,Friendly,Berlin,Germany,False,UEFA,1717.0,UEFA,1718.0
1937-01-19,Brazil,Uruguay,3,2,Copa América,Buenos Aires,Argentina,True,CONMEBOL,1776.0,CONMEBOL,1679.0
1937-01-23,Argentina,Uruguay,2,3,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1937-01-30,Argentina,Brazil,1,0,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1937-02-01,Argentina,Brazil,2,0,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1937-03-21,Germany,France,4,0,Friendly,Stuttgart,Germany,False,UEFA,1717.0,UEFA,1853.0
1937-10-10,Uruguay,Argentina,0,3,Copa Newton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1937-11-11,Argentina,Uruguay,5,1,Copa Lipton,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1937-12-05,France,Italy,0,0,Friendly,Paris,France,False,UEFA,1853.0,UEFA,1718.0
1938-02-10,Mexico,Colombia,3,1,Central American and Caribbean Games,Panama City,Panama,True,CONCACAF,1647.0,CONMEBOL,1679.0
1938-06-12,France,Italy,1,3,FIFA World Cup,Colombes,France,False,UEFA,1853.0,UEFA,1718.0
1938-06-16,Brazil,Italy,1,2,FIFA World Cup,Marseille,France,True,CONMEBOL,1776.0,UEFA,1718.0
1938-06-18,Argentina,Uruguay,1,0,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1938-10-12,Uruguay,Argentina,2,3,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1938-12-04,Italy,France,1,0,Friendly,Naples,Italy,False,UEFA,1718.0,UEFA,1853.0
1939-01-15,Brazil,Argentina,1,5,Copa Roca,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1939-01-22,Brazil,Argentina,3,2,Copa Roca,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1939-03-26,Italy,Germany,3,2,Friendly,Florence,Italy,False,UEFA,1718.0,UEFA,1717.0
1939-11-26,Germany,Italy,5,2,Friendly,Berlin,Germany,False,UEFA,1717.0,UEFA,1718.0
1940-02-18,Brazil,Argentina,2,2,Copa Roca,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1940-02-25,Brazil,Argentina,0,3,Copa Roca,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1940-03-05,Argentina,Brazil,6,1,Copa Roca,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1940-03-10,Argentina,Brazil,2,3,Copa Roca,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1940-03-17,Argentina,Brazil,5,1,Copa Roca,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1940-03-24,Brazil,Uruguay,3,4,Copa Rio Branco,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1940-03-31,Brazil,Uruguay,1,1,Copa Rio Branco,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1940-05-05,Italy,Germany,3,2,Friendly,Milan,Italy,False,UEFA,1718.0,UEFA,1717.0
1940-07-18,Uruguay,Argentina,3,0,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
